,base_date,소비자심리지수
1,201801월,110.7
2,201802월,109.0
3,201803월,108.9
4,201804월,107.9
5,201805월,108.8
6,201806월,106.3
7,201807월,101.8
8,201808월,99.9
9,201809월,100.7
10,201810월,99.9
11,201811월,96.5
12,201812월,97.6
13,201901월,98.3
14,201902월,100.3
15,201903월,100.5
16,201904월,102.4
17,201905월,98.7
18,201906월,98.4
19,201907월,96.9
20,201908월,93.5
21,201909월,97.9
22,201910월,99.5
23,201911월,101.7
24,201912월,101.3
25,202001월,104.8
26,202002월,97.8
27,202003월,80.4
28,202004월,73.3
29,202005월,79.7
30,202006월,83.7
31,202007월,85.9
32,202008월,89.7
33,202009월,81.4
34,202010월,92.9
35,202011월,99.0
36,202012월,91.2
37,202101월,95.4
38,202102월,97.4
39,202103월,100.5
40,202104월,102.2
41,202105월,105.3
42,202106월,110.3
